"id","dominio","prefixo","metodo","rota","operacao","handler","protecao","linha_app_go"
"191","Automações","automations","POST","/v1/automations/{id}/duplicate","Duplicate","automationsHandler.Duplicate","Módulo automations + permissão AutomationsManage","491"
"192","Automações","automations","PUT","/v1/automations/{id}/flow","SaveFlow","automationsHandler.SaveFlow","Módulo automations + permissão AutomationsManage","492"
"193","Automações","automations","POST","/v1/automations/{id}/start","Start","automationsHandler.Start","Módulo automations + permissão AutomationsManage","493"
"194","Modelos de automação","automation-templates","GET","/v1/automation-templates","ListTemplates","automationsHandler.ListTemplates","Módulo automations + permissão AutomationsView","494"
"195","Modelos de automação","automation-templates","POST","/v1/automation-templates","CreateTemplate","automationsHandler.CreateTemplate","Módulo automations + permissão AutomationsManage","495"
"196","Modelos de automação","automation-templates","DELETE","/v1/automation-templates/{id}","DeleteTemplate","automationsHandler.DeleteTemplate","Módulo automations + permissão AutomationsManage","496"
"197","Execuções de automação","automation-executions","GET","/v1/automation-executions","ListExecutions","automationsHandler.ListExecutions","Módulo automations + permissão AutomationsView","497"
"198","Execuções de automação","automation-executions","GET","/v1/automation-executions/summary","ListExecutionSummaries","automationsHandler.ListExecutionSummaries","Módulo automations + permissão AutomationsView","498"
"199","Execuções de automação","automation-executions","GET","/v1/automation-executions/{id}/steps","ListExecutionSteps","automationsHandler.ListExecutionSteps","Módulo automations + permissão AutomationsView","499"
"200","Execuções de automação","automation-executions","POST","/v1/automation-executions/{id}/cancel","CancelExecution","automationsHandler.CancelExecution","Módulo automations + permissão AutomationsManage","500"
"201","Leads","leads","POST","/v1/leads/{id}/automation-executions/cancel","CancelLeadExecutions","automationsHandler.CancelLeadExecutions","Módulo automations + permissão AutomationsManage","501"
"202","Automações","automations","POST","/v1/automations/{id}/executions/cancel","CancelAutomationExecutions","automationsHandler.CancelAutomationExecutions","Módulo automations + permissão AutomationsManage","502"
"203","Runtime de automação","automation-runtime","GET","/v1/automation-runtime/issues","ListRuntimeIssues","automationsHandler.ListRuntimeIssues","Módulo automations + permissão AutomationsView","503"
